Index,Business Name,Business Address,Business Address(Line 1),Business Address(Line 2),Business Address Suburb,Business Phone Number,Eat Safe Rating,Permit Name,Business Address Suburb List
4792,Shanti Indo Lankan Restaurant,"Shop 12, 166 Monier Rd -","Shop 12, 166 Monier Rd",,Darra,-,,Cafe/Restaurant,"D, Darra"
4793,Pizza Hut Darra,166 Monier Rd -,166 Monier Rd,,Darra,-,4,Takeaway Food,"D, Darra"
4794,4 Sushi,166 Monier Rd 0733767475,166 Monier Rd,,Darra,0733767475,3,Takeaway Food,"D, Darra"
4795,Millers Country Bakehouse,"Unit 18, Bellwood Business Park 49 Bellwood St -","Unit 18, Bellwood Business Park",49 Bellwood St,Darra,-,3,"Food Manufacturer,Bakery/Patisserie","D, Darra"
4796,Gold Star Supermarkets Australia,11 Darra Station Road -,11 Darra Station Road,,Darra,-,,Food Shop,"D, Darra"
4797,Darra Snack Bar,"Shop 2, 23 Railway Parade -","Shop 2, 23 Railway Parade",,Darra,-,,Takeaway Food,"D, Darra"
4798,Made With Plants Pty Ltd,11 Limestone Street -,11 Limestone Street,,Darra,-,,Food Manufacturer,"D, Darra"
4799,Atula Pty Ltd,81 Darra Station Road -,81 Darra Station Road,,Darra,-,5,Child Care Centre,"D, Darra"
4800,Nomad Breads Pty Ltd,45 Kiln Street -,45 Kiln Street,,Darra,-,,Food Manufacturer,"D, Darra"
4801,Monier Cafe,5/166 MONIER ROAD -,5/166 MONIER ROAD,,Darra,-,,"Cafe/Restaurant,Takeaway Food","D, Darra"
4802,Gutsy Ferments,4/42 CLINKER STREET -,4/42 CLINKER STREET,,Darra,-,4,Food Manufacturer,"D, Darra"
4803,CASA DELLA PIZZA PIZZERIA,38 Bernoulli St -,38 Bernoulli St,,Darra,-,4,Mobile Food,"D, Darra"
4804,Sol Natural Foods Darra,18/49 Bellwood Street -,18/49 Bellwood Street,,Darra,-,,Cafe/Restaurant,"D, Darra"
4805,Banjo's Darra,2596 Ipswich Road -,2596 Ipswich Road,,Darra,-,4,"Takeaway Food,Cafe/Restaurant,Bakery/Patisserie","D, Darra"
4806,Sonoma Baking Company (Brisbane) Pty Ltd,89 HARCOURT ROAD -,89 HARCOURT ROAD,,Darra,-,,Bakery/Patisserie,"D, Darra"
4807,Zac's Carvery Darra / Supreme Leader Chicken Darra / Alabama Chicken and Wings,31 ACANTHUS ST -,31 ACANTHUS ST,,Darra,-,,Cafe/Restaurant,"D, Darra"
4808,Bun Bun Pork Roll Darra,2 / 23 Railway Pde -,2 / 23 Railway Pde,,Darra,-,3,"Bakery/Patisserie,Cafe/Restaurant,Takeaway Food","D, Darra"
4809,Freedom Fuels Darra South,2596-2602 Ipswich Road -,2596-2602 Ipswich Road,,Darra,-,4,Cafe/Restaurant,"D, Darra"
4810,Cactus Canning Pty Ltd,5/659 Boundary Road -,5/659 Boundary Road,,Darra,-,,"Beverage Manufacturer/Bottler,Food Manufacturer","D, Darra"
4811,Scott Road Childcare,39 Scotts Road -,39 Scotts Road,,Darra,-,5,Child Care Centre,"D, Darra"
4812,Kids Academy Darra,127 Darra Station Rd 07 2104 5602,127 Darra Station Rd,,Darra,07 2104 5602,4,Child Care Centre,"D, Darra"
4813,Patties Foods Meals Pty Ltd,60 Grindle Road -,60 Grindle Road,,Wacol,-,4,Food Manufacturer,"W, Wacol"
4814,Riviana Foods,18 Production Street (07) 32711511,18 Production Street,,Wacol,(07) 32711511,4,Food Manufacturer,"W, Wacol"
4815,Harvest Fresh Cuts,79 Tile Street 0737123800,79 Tile Street,,Wacol,0737123800,,Food Manufacturer,"W, Wacol"
4816,Wolston Park Golf Club Incorporation,331 Wilruna Street 07 3271 4057,331 Wilruna Street,,Wacol,07 3271 4057,4,Cafe/Restaurant,"W, Wacol"
4817,Gailes Golf Club,299 Wilruna Street 3271 2333,299 Wilruna Street,,Wacol,3271 2333,3,Cafe/Restaurant,"W, Wacol"
4818,Cafe121Wacol,121 Industrial Avenue -,121 Industrial Avenue,,Wacol,-,3,"Cafe/Restaurant,Takeaway Food","W, Wacol"
4819,ISS Facility Management Pty Ltd,36 Viking Dr -,36 Viking Dr,,Wacol,-,,Takeaway Food,"W, Wacol"
4820,BP Wacol Truck Stop,576 Progress Road -,576 Progress Road,,Wacol,-,4,Takeaway Food,"W, Wacol"
4821,Wacol Snack Bar,15 Wacol Station Rd 3271 5002,15 Wacol Station Rd,,Wacol,3271 5002,3,Takeaway Food,"W, Wacol"
4822,James' Snack Bar,12 Wacol Station Road -,12 Wacol Station Road,,Wacol,-,3,Takeaway Food,"W, Wacol"
4823,Coulson Street Take-Away,Shop 7 Opal Court 60 Coulson Street -,Shop 7 Opal Court,60 Coulson Street,Wacol,-,3,Takeaway Food,"W, Wacol"
4824,Endeavor Industries,56 Wacol Station Road 3271 1414,56 Wacol Station Road,,Wacol,3271 1414,5,Food Manufacturer,"W, Wacol"
4825,Homestead Diner,9 / 4 Industrial Avenue -,9 / 4 Industrial Avenue,,Wacol,-,3,Takeaway Food,"W, Wacol"
4826,Tile St Snack Bar,3B/17 Tile St 07 32715400,3B/17 Tile St,,Wacol,07 32715400,,Takeaway Food,"W, Wacol"
4827,Caltex Wacol Boundary Road,1380 Boundary Road -,1380 Boundary Road,,Wacol,-,4,Takeaway Food,"W, Wacol"
4828,Em-Me Cafe,19 / 1472 Boundary Rd -,19 / 1472 Boundary Rd,,Wacol,-,,Cafe/Restaurant,"W, Wacol"
4829,Sealy Staff Canteen,1299 Boundary Rd 33315399,1299 Boundary Rd,,Wacol,33315399,5,Cafe/Restaurant,"W, Wacol"
4830,The Black Cat Cafe & Friends,139 Wacol Station Road 07 3258 5621,139 Wacol Station Road,,Wacol,07 3258 5621,,Cafe/Restaurant,"W, Wacol"
4831,The Flour Shop,1435 Boundary Rd 07 32711616,1435 Boundary Rd,,Wacol,07 32711616,4,Food Manufacturer,"W, Wacol"
4832,Madad Pty Ltd,1325 Boundary Road -,1325 Boundary Road,,Wacol,-,5,Food Shop,"W, Wacol"
4833,Qld Police Academy Wacol Cafe,39 ORFORD DRIVE -,39 ORFORD DRIVE,,Wacol,-,5,"Cafe/Restaurant,Takeaway Food","W, Wacol"
4834,Creating Occasions Pty Ltd,555 Progress Rd -,555 Progress Rd,,Wacol,-,,"Cafe/Restaurant,Caterer - Off Site,Caterer - On Site","W, Wacol"
4835,All Food Systems,2/71 Wacol Station Road -,2/71 Wacol Station Road,,Wacol,-,3,Food Manufacturer,"W, Wacol"
4836,ISS Facility Management Pty Ltd,41 Bivouac Place -,41 Bivouac Place,,Wacol,-,3,Cafe/Restaurant,"W, Wacol"
4837,Raw Metal Corp P/L,1156 Boundary Road -,1156 Boundary Road,,Wacol,-,3,Takeaway Food,"W, Wacol"
4838,National Trust of Australia (Queensland) Wolston House,223 Grindle Road -,223 Grindle Road,,Wacol,-,3,Cafe/Restaurant,"W, Wacol"
4839,Primo Foods,3 Production Street -,3 Production Street,,Wacol,-,,Food Manufacturer,"W, Wacol"
4840,Ampol Wacol,3505 Ipswich Road -,3505 Ipswich Road,,Wacol,-,,Cafe/Restaurant,"W, Wacol"
4841,Doolandella Early Learning Centre,931 Blunder Road -,931 Blunder Road,,Doolandella,-,5,Child Care Centre,"D, Doolandella"
4842,Doolandella Fish Depot,"Shop 5, 20 Brookside Street -","Shop 5, 20 Brookside Street",,Doolandella,-,3,Takeaway Food,"D, Doolandella"
4843,Woolworths Doolandella,943 Blunder Rd -,943 Blunder Rd,,Doolandella,-,,"Bakery/Patisserie,Delicatessen,Food Shop,Fruit and Vegetable Processing","D, Doolandella"
4844,Mom's - the real homemade,4/1056 Blunder Road -,4/1056 Blunder Road,,Doolandella,-,,Cafe/Restaurant,"D, Doolandella"
4845,McDonald's Doolandella,20 Brookside Street 07 3565 4700,20 Brookside Street,,Doolandella,07 3565 4700,,"Cafe/Restaurant,Takeaway Food","D, Doolandella"
4846,Tran Chung,13 Avington Street -,13 Avington Street,,Doolandella,-,3,"Food Manufacturer,Takeaway Food","D, Doolandella"
4847,Doolandella Bakehouse,"S2, Doolandella Service Ctre, 20 Brookside St -","S2, Doolandella Service Ctre, 20 Brookside St",,Doolandella,-,,Bakery/Patisserie,"D, Doolandella"
4848,Lucky Tree Tavern,248 King Ave -,248 King Ave,,Durack,-,,Cafe/Restaurant,"D, Durack"
4849,Aveo Food Services,356 Blunder Road -,356 Blunder Road,,Durack,-,,Caterer - On Site,"D, Durack"
4850,Club House,247 King Ave 33722254,247 King Ave,,Durack,33722254,3,Cafe/Restaurant,"D, Durack"
4851,Durack Inala Bowls Club,526 Blunder Road 3372 1267,,526 Blunder Road,Durack,3372 1267,,Cafe/Restaurant,"D, Durack"
4852,Nina's Fish Chips & Takeaway,1 / 82 Glenala Road -,1 / 82 Glenala Road,,Durack,-,,Takeaway Food,"D, Durack"
4853,Little Big People Early Learning Durack,56-58 Durella St -,56-58 Durella St,,Durack,-,4,Child Care Centre,"D, Durack"
4854,Oxley Grove Care Community,"356 Blunder Rd, -","356 Blunder Rd,",,Durack,-,5,Care Facility,"D, Durack"
4855,SKP TASTE,1 Pioneer Crt (12 Mckinlay Place) -,1 Pioneer Crt (12 Mckinlay Place),,Durack,-,,Food Manufacturer,"D, Durack"
4856,Chefs Kiss Crepes - Rego#734UTX,17 Oleander Cres -,17 Oleander Cres,,Durack,-,,Mobile Food,"D, Durack"
4857,Aussie Seafood House,656 Blunder Road -,656 Blunder Road,,Durack,-,,Food Shop,"D, Durack"
4858,Olive Garden Early Learning,724 BLUNDER ROAD -,724 BLUNDER ROAD,,Durack,-,,Child Care Centre,"D, Durack"
4859,The Blue Fin Fishing Club Inc.,24 Lilac St 07 3372 4133,24 Lilac St,,Inala,07 3372 4133,4,Cafe/Restaurant,"I, Inala"
4860,Capilano Honey,P O Box 531 3712 8282,P O Box 531,,Inala,3712 8282,5,Food Manufacturer,"I, Inala"
4861,Tan Thanh Restaurant,16/57 Corsair Avenue 0732788883,16/57 Corsair Avenue,,Inala,0732788883,,Cafe/Restaurant,"I, Inala"
4862,Red Rooster Inala,164 Freeman Road -,164 Freeman Road,,Inala,-,,"Cafe/Restaurant,Takeaway Food","I, Inala"
4863,TRONGAN,"Shop 12, 156 Inala Ave -","Shop 12, 156 Inala Ave",,Inala,-,4,Cafe/Restaurant,"I, Inala"
4864,Diamonds Hotel,201 Rudd Street -,201 Rudd Street,,Inala,-,4,Cafe/Restaurant,"I, Inala"
4865,Inala Darts Club,384 Archerfield Road 3217 0222,384 Archerfield Road,,Inala,3217 0222,,Cafe/Restaurant,"I, Inala"
4866,Queensland Police Citizens Youth Welfare Association - Inala PCYC,37 Swallow Street -,37 Swallow Street,,Inala,-,3,Cafe/Restaurant,"I, Inala"
4867,KFC - Inala,18 Jonquil Street 34700357,18 Jonquil Street,,Inala,34700357,3,Cafe/Restaurant,"I, Inala"
4868,Swallow St Child Care Centre,101 Swallow St 3372 4894,101 Swallow St,,Inala,3372 4894,,Child Care Centre,"I, Inala"
4869,Golden Crust Bakery,137 Biota Street -,137 Biota Street,,Inala,-,3,Bakery/Patisserie,"I, Inala"
4870,Woolworths Inala 2554,156 Inala Ave 0730123362,156 Inala Ave,,Inala,0730123362,4,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","I, Inala"
4871,Duong Dong Fish Market,"156 Inala Ave (Inala Civic Ctre) (L 8, 37 Corsair Ave) -","156 Inala Ave (Inala Civic Ctre) (L 8, 37 Corsair Ave)",,Inala,-,,Delicatessen,"I, Inala"
4872,Muoi Bakery,156 Inala Ave 0432720828,156 Inala Ave,,Inala,0432720828,3,Bakery/Patisserie,"I, Inala"
4873,Minh Tan Bakery,"Shop 43, 156 Inala Ave 337210000","Shop 43, 156 Inala Ave",,Inala,337210000,,Bakery/Patisserie,"I, Inala"
4874,Mon's Seafood,Inala Civic Centre Shop 1C / 156 Inala Avenue 3879 6392,Inala Civic Centre,Shop 1C / 156 Inala Avenue,Inala,3879 6392,,Delicatessen,"I, Inala"
4875,Tinh Lac Quan- Vegetarian Restaurant,"Shop 8 Inala Civic Centre, 156 Inala Ave (Corsair Ave) -","Shop 8 Inala Civic Centre, 156 Inala Ave (Corsair Ave)",,Inala,-,3,"Cafe/Restaurant,Takeaway Food","I, Inala"
4876,888 Restaurant,Shop 5/14 - 16 Lilac Street -,Shop 5/14 - 16 Lilac Street,,Inala,-,,Takeaway Food,"I, Inala"
4877,Biota Takewaway,"Shop A, 145-147 Biota Street -","Shop A, 145-147 Biota Street",,Inala,-,,Takeaway Food,"I, Inala"
4878,Bake N Grill,Shop 2 156 Inala Ave (Kittyhawk Ave) -,Shop 2 156 Inala Ave (Kittyhawk Ave),,Inala,-,3,Takeaway Food,"I, Inala"
4879,PHO AN BRISBANE,9/57 Skylark St (Skylark Shopping Park) -,9/57 Skylark St (Skylark Shopping Park),,Inala,-,,"Takeaway Food,Cafe/Restaurant","I, Inala"
4880,Bill's Takeaway,Shop 10  156 Inala Ave 3372 1049,Shop 10  156 Inala Ave,,Inala,3372 1049,3,Takeaway Food,"I, Inala"
4881,Quan Ba 8,Shop 6 / 156 Inala Avenue   -,Shop 6 / 156 Inala Avenue,,Inala,-,,Cafe/Restaurant,"I, Inala"
4882,Happy Bun,77 Skylark Street 33756927,77 Skylark Street,,Inala,33756927,3,Takeaway Food,"I, Inala"
4883,Thien Phu Trading,"Shop 13,  37 Corsair Avenue -","Shop 13,  37 Corsair Avenue",,Inala,-,,Cafe/Restaurant,"I, Inala"
4884,Aspen Community Early Learning Centre Inc,24 Aspen St -,24 Aspen St,,Inala,-,4,Child Care Centre,"I, Inala"
4885,8 Heat,"Shop 5, 32 Corsair Avenue -","Shop 5, 32 Corsair Avenue",,Inala,-,,Takeaway Food,"I, Inala"
4886,HUE XUA RESTAURANT,159 BIOTA STREET -,159 BIOTA STREET,,Inala,-,4,Cafe/Restaurant,"I, Inala"
4887,Goodstart Early Learning Richlands 1 & 2,55 - 57 Poinsettia Street 32787755,55 - 57 Poinsettia Street,,Inala,32787755,4,Child Care Centre,"I, Inala"
4888,Bluefire Grill,S3B Inala Plaza Shopping Centre 156 Inala Aveune 31509760,S3B Inala Plaza Shopping Centre,156 Inala Aveune,Inala,31509760,,Cafe/Restaurant,"I, Inala"
4889,Busy Learners Early Education Centre,41 Yulan Street -,41 Yulan Street,,Inala,-,5,Child Care Centre,"I, Inala"
4890,Vietnamese Catholic Community Centre,C/ - The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane 42 Lilac Street -,C/ - The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,42 Lilac Street,Inala,-,3,Cafe/Restaurant,"I, Inala"
4891,Tan Huong,"Shop 8, 8/37 Corsair Avenue -","Shop 8, 8/37 Corsair Avenue",,Inala,-,,Takeaway Food,"I, Inala"
4892,Duyen Que,"Shop 3, Inala Civic Centre, 17/37 Corsair Ave 0430502626","Shop 3, Inala Civic Centre, 17/37 Corsair Ave",,Inala,0430502626,3,Cafe/Restaurant,"I, Inala"
4893,Inala Meals on Wheels Inc,48 Wirraway Parade 33725276,48 Wirraway Parade,,Inala,33725276,5,Care Facility,"I, Inala"
4894,Mei Hong Yen Food Co,42 Begonia St 0415230610,42 Begonia St,,Inala,0415230610,4,Food Manufacturer,"I, Inala"
4895,Pho Ba Nga,35 Lavender St -,35 Lavender St,,Inala,-,,Cafe/Restaurant,"I, Inala"
4896,Huong's Vietnamese Cuisine and Fresh Sugarcane,9/37 Corsair Ave -,9/37 Corsair Ave,,Inala,-,,Takeaway Food,"I, Inala"
4897,Hu Tieu Mi Tra Vinh,129 Biota Street -,129 Biota Street,,Inala,-,,Cafe/Restaurant,"I, Inala"
4898,Viet Snack,64/156 INALA AVENUE -,64/156 INALA AVENUE,,Inala,-,,"Cafe/Restaurant,Takeaway Food","I, Inala"
4899,Little Sai Gon Corner,"Shop 32D, 156 Inala Ave (Inala Civic Centre) -","Shop 32D, 156 Inala Ave (Inala Civic Centre)",,Inala,-,3,Cafe/Restaurant,"I, Inala"
4900,Quan Nhu Y1,"Shop 3, 37 Corsair Avenue -","Shop 3, 37 Corsair Avenue",,Inala,-,,Cafe/Restaurant,"I, Inala"
4901,Khoi Restaurant,10/37 Corsair Avenue (Saigon Plaza) -,10/37 Corsair Avenue (Saigon Plaza),,Inala,-,3,Cafe/Restaurant,"I, Inala"
4902,EV Coffee and Juice,"Shop 3A, Inala Civic Centre 37 Corsair Ave -","Shop 3A, Inala Civic Centre",37 Corsair Ave,Inala,-,3,Takeaway Food,"I, Inala"
4903,Fin Coffee and Tea,133 Biota St -,133 Biota St,,Inala,-,3,Cafe/Restaurant,"I, Inala"
4904,La Queen Desserts And Drinks,"Shop 15, 10/37 Corsair Avenue (Saigon Plaza) -","Shop 15, 10/37 Corsair Avenue (Saigon Plaza)",,Inala,-,4,Cafe/Restaurant,"I, Inala"
4905,CA-PHE-LA,"Shop 27, Inala Plaza 156 Inala Ave -","Shop 27, Inala Plaza",156 Inala Ave,Inala,-,,Cafe/Restaurant,"I, Inala"
4906,Pho An Dien,Shop 3/37 Corsair Avenue -,Shop 3/37 Corsair Avenue,,Inala,-,3,Cafe/Restaurant,"I, Inala"
4907,Non la saigon,Saigon Plaza 37 Corsair Ave -,Saigon Plaza,37 Corsair Ave,Inala,-,,Cafe/Restaurant,"I, Inala"
4908,Co Mai Foods Pty Ltd,24 Begonia St -,24 Begonia St,,Inala,-,,Food Manufacturer,"I, Inala"
4909,Hot Star Large Fried Chicken Inala,"Shop 4, Inala Plaza Shopping Centre 156 Inala Avenue -","Shop 4, Inala Plaza Shopping Centre",156 Inala Avenue,Inala,-,3,Takeaway Food,"I, Inala"
4910,Krishna Island and Indian Foods,151 Biota St -,151 Biota St,,Inala,-,3,Food Shop,"I, Inala"
4911,My Pho Restaurant,"Unit 8, 37 Corsair Avenue -","Unit 8, 37 Corsair Avenue",,Inala,-,,Cafe/Restaurant,"I, Inala"
4912,Her Dessert,"Shop 6A, Inala Plaza, 156 Inala Ave -","Shop 6A, Inala Plaza, 156 Inala Ave",,Inala,-,3,Takeaway Food,"I, Inala"
4913,Breadtop Inala,156 INALA AVENUE -,156 INALA AVENUE,,Inala,-,,Bakery/Patisserie,"I, Inala"
4914,V Pho,"Shop 25A, 156 Inala Ave (Inala Plaza) -","Shop 25A, 156 Inala Ave (Inala Plaza)",,Inala,-,,Cafe/Restaurant,"I, Inala"
4915,Arhibu Restaurant,Shop 14 37 Corsair Ave (Saigon plaza) -,Shop 14 37 Corsair Ave (Saigon plaza),,Inala,-,,Cafe/Restaurant,"I, Inala"
4916,Chac's Lang Nuong,13 Corsair Ave -,13 Corsair Ave,,Inala,-,,Cafe/Restaurant,"I, Inala"
4917,Nakama Treats,"Shop 39, Inala Plaza, 156 Inala Avenue -","Shop 39, Inala Plaza, 156 Inala Avenue",,Inala,-,4,Cafe/Restaurant,"I, Inala"
4918,Nhu Y Butcher,2/57 SKYLARK STREET -,2/57 SKYLARK STREET,,Inala,-,,Food Manufacturer,"I, Inala"
4919,Happy Hearts Child Care Centre and Kindergarten Richlands East,23 Columba Street -,23 Columba Street,,Inala,-,5,Child Care Centre,"I, Inala"
4920,Tan Dinh Bread Rolls,"Shop 10B, Inala Civic Ctre, 37 Corsair Ave -","Shop 10B, Inala Civic Ctre, 37 Corsair Ave",,Inala,-,,Bakery/Patisserie,"I, Inala"
4921,Saigon Barbecue Pty Ltd,"Shop 5, Saigon Plaza 10/37 Corsair Ave -","Shop 5, Saigon Plaza",10/37 Corsair Ave,Inala,-,,Takeaway Food,"I, Inala"
4922,Vina Cafe Inala,Shop 10 - 4/1 Kittyhawk Avenue (37 Corsair Avenue) -,Shop 10 - 4/1 Kittyhawk Avenue,(37 Corsair Avenue),Inala,-,3,Cafe/Restaurant,"I, Inala"
4923,Miguelitos Ice Cream Inala,"Shop 9, Inala Plaza Shopping Centre 25 Corsair Ave -","Shop 9, Inala Plaza Shopping Centre",25 Corsair Ave,Inala,-,5,Takeaway Food,"I, Inala"
4924,Viet Yummy Inala,"Shop 1, Inala Plaza 156 Inala Ave -","Shop 1, Inala Plaza",156 Inala Ave,Inala,-,4,Cafe/Restaurant,"I, Inala"
4925,Sharetea Inala,"Shop 2A, Inala Plaza 156 Inala Ave -","Shop 2A, Inala Plaza",156 Inala Ave,Inala,-,,Cafe/Restaurant,"I, Inala"
4926,Luv Beans,"Shop 6, 38 Corsair Ave, (Saigon Plaza) -","Shop 6, 38 Corsair Ave, (Saigon Plaza)",,Inala,-,,Cafe/Restaurant,"I, Inala"
4927,Portofino Cafe,9/156 INALA AVENUE -,9/156 INALA AVENUE,,Inala,-,,Cafe/Restaurant,"I, Inala"
4928,Sushi Chef K,156 INALA AVENUE -,156 INALA AVENUE,,Inala,-,,Takeaway Food,"I, Inala"
4929,Pho Queen,"Shop 11, Lot 10, 37 Corair Ave (Saigon Plaza, Inala Civic Ctre) -","Shop 11, Lot 10, 37 Corair Ave (Saigon Plaza, Inala Civic Ctre)",,Inala,-,,Cafe/Restaurant,"I, Inala"
4930,Inala Fish Market,"Shop 1 & 2, 37 Corsair Ave (156 Inala Ave) -","Shop 1 & 2, 37 Corsair Ave (156 Inala Ave)",,Inala,-,3,Food Shop,"I, Inala"
4931,Kelly Dang,113 Abelia Street -,113 Abelia Street,,Inala,-,3,Bakery/Patisserie,"I, Inala"
4932,Sunshine Bar & Grill,"Shop 40, 156 Inala Ave (Inala Plaza) -","Shop 40, 156 Inala Ave (Inala Plaza)",,Inala,-,3,Cafe/Restaurant,"I, Inala"
4933,Queensland Lions Football Club,133 Pine Road -,133 Pine Road,,Richlands,-,,Cafe/Restaurant,"R, Richlands"
4934,Zone Bowling,407 Archerfield Road -,407 Archerfield Road,,Richlands,-,,Cafe/Restaurant,"R, Richlands"
4935,Coca Cola Europe Pacific partners Australia,260 Orchard Road 07 32482894,260 Orchard Road,,Richlands,07 32482894,,Beverage Manufacturer/Bottler,"R, Richlands"
4936,Queensland Lions Football Club,315 Freeman Road -,315 Freeman Road,,Richlands,-,3,Food Shop,"R, Richlands"
4937,Spotless Catering,260 Orchard Road -,260 Orchard Road,,Richlands,-,4,Cafe/Restaurant,"R, Richlands"
4938,Ampol Richlands #11950,209 Progress Road -,209 Progress Road,,Richlands,-,5,Takeaway Food,"R, Richlands"
4939,Domino 's Richlands,209 Progress Rd -,209 Progress Rd,,Richlands,-,3,Takeaway Food,"R, Richlands"
4940,Subway Richlands,1/209S PROGRESS ROAD -,1/209S PROGRESS ROAD,,Richlands,-,3,"Takeaway Food,Cafe/Restaurant","R, Richlands"
4941,Ti-Flatheads Fish & Chips,"Shop 8, 209 Progress Road -","Shop 8, 209 Progress Road",,Richlands,-,3,Takeaway Food,"R, Richlands"
4942,Hotel Richlands,123 / 140 Government Road -,123 / 140 Government Road,,Richlands,-,,Cafe/Restaurant,"R, Richlands"
4943,Hard Wok Noodle Bar,2/209 Progress Road 3879 4788,2/209 Progress Road,,Richlands,3879 4788,3,Takeaway Food,"R, Richlands"
4944,Richlands Bakery Cafe,"Shop 3, 503 Archerfield Road 38792818","Shop 3, 503 Archerfield Road",,Richlands,38792818,,Bakery/Patisserie,"R, Richlands"
4945,McDonald's Richlands,19 GOVERNMENT ROAD -,19 GOVERNMENT ROAD,,Richlands,-,5,Cafe/Restaurant,"R, Richlands"
4946,Woolworths Richlands 2824,495 Archerfield Rd -,495 Archerfield Rd,,Richlands,-,4,"Fruit and Vegetable Processing,Food Shop,Delicatessen","R, Richlands"
4947,Royal Kebabs Richlands,"Shop 2, Richlands Plaza 511 Archerfield Rd -","Shop 2, Richlands Plaza",511 Archerfield Rd,Richlands,-,3,Takeaway Food,"R, Richlands"
4948,Fish on Richlands,Shop 4 /  511 Archerfield Road -,Shop 4 /  511 Archerfield Road,,Richlands,-,,Takeaway Food,"R, Richlands"
4949,B & T Beans Pty Ltd,"Shop 10, 511 Archerfield Rd -","Shop 10, 511 Archerfield Rd",,Richlands,-,4,Cafe/Restaurant,"R, Richlands"
4950,Rice&Noodle Hut,"Shop 5, 511 Archerfield Rd (Richlands Plaza) -","Shop 5, 511 Archerfield Rd (Richlands Plaza)",,Richlands,-,3,Takeaway Food,"R, Richlands"
4951,Chang Chi Pty Ltd,17 Enterprise St -,17 Enterprise St,,Richlands,-,4,Food Manufacturer,"R, Richlands"
4952,Sushi Shou,106 Garden Rd -,106 Garden Rd,,Richlands,-,4,Cafe/Restaurant,"R, Richlands"
4953,Guzman y Gomez,205 Government Rd -0730776543,205 Government Rd,,Richlands,-0730776543,,Cafe/Restaurant,"R, Richlands"
4954,Thai Origin Restaurant,7/199 Progress Road 31727758,7/199 Progress Road,,Richlands,31727758,3,Cafe/Restaurant,"R, Richlands"
4955,Banjos Richlands,215 Government Rd -,215 Government Rd,,Richlands,-,4,"Bakery/Patisserie,Cafe/Restaurant","R, Richlands"
4956,KFC,"Shop 4, 205 Government Road -","Shop 4, 205 Government Road",,Richlands,-,5,Cafe/Restaurant,"R, Richlands"
4957,Richlands Bakehouse and Patiserrie,2/220 Government Rd (2/18 O'Connor Cres) -,2/220 Government Rd (2/18 O'Connor Cres),,Richlands,-,,Bakery/Patisserie,"R, Richlands"
4958,Fino Foods Pty Ltd,18 Enterprise St -,18 Enterprise St,,Richlands,-,5,Food Manufacturer,"R, Richlands"
4959,Jelly Bean Child Care Centre,29 Government Road -,29 Government Road,,Richlands,-,4,Child Care Centre,"R, Richlands"
4960,Balance Kitchen,24 Network Pl -,24 Network Pl,,Richlands,-,,Takeaway Food,"R, Richlands"
4961,The Emperor's Grill - Rego# 740UPW,The Emperor's Grill - Rego# 740UPW 107 PINE ROAD -,The Emperor's Grill - Rego# 740UPW,107 PINE ROAD,Richlands,-,4,Mobile Food,"R, Richlands"
4962,The Spice Delight,"S8, 205 Government Rd (Richlands Sqre)(29 Garden Rd) -","S8, 205 Government Rd (Richlands Sqre)(29 Garden Rd)",,Richlands,-,,Cafe/Restaurant,"R, Richlands"
4963,Guardian Childcare & Education Richlands,144 Pine Road -,144 Pine Road,,Richlands,-,4,Child Care Centre,"R, Richlands"
4964,Green Leaves Early Learning Richlands,225 Progress Road -,225 Progress Road,,Richlands,-,5,Child Care Centre,"R, Richlands"
4965,Cold Rock Richlands,"Shop 5, 25 Garden Road -","Shop 5, 25 Garden Road",,Richlands,-,,"Cafe/Restaurant,Takeaway Food","R, Richlands"
4966,Centacare ALANI,201 Archerfield Road -,201 Archerfield Road,,Richlands,-,4,Care Facility,"R, Richlands"
4967,Vivid Candy,9 Mario Cl -,9 Mario Cl,,Richlands,-,4,Food Manufacturer,"R, Richlands"
4968,The Baked Club,"Unit 23, 145 Government Rd -","Unit 23, 145 Government Rd",,Richlands,-,,Bakery/Patisserie,"R, Richlands"
4969,Sushi Paradise Richlands,144 Pine Road -,144 Pine Road,,Richlands,-,3,"Takeaway Food,Food Shop","R, Richlands"
4970,Custom Foods Pty Ltd,2A / 77 Bandara St -,2A / 77 Bandara St,,Richlands,-,,Food Manufacturer,"R, Richlands"
4971,HARU Korean BBQ,4/205 GOVERNMENT ROAD -,4/205 GOVERNMENT ROAD,,Richlands,-,3,Cafe/Restaurant,"R, Richlands"
4972,Little Locals Richlands,208 Progress Road -,208 Progress Road,,Richlands,-,,Child Care Centre,"R, Richlands"
4973,Hungry Jack's,199 Progress Road -,199 Progress Road,,Richlands,-,,Cafe/Restaurant,"R, Richlands"
4974,Gilbert Street Kitchens Pty Ltd,16 Whitelaw Pl -,16 Whitelaw Pl,,Richlands,-,5,Food Manufacturer,"R, Richlands"
4975,Cafe 63 Richlands,S T9 205 Government Rd (29 Garden Rd) -,S T9 205 Government Rd (29 Garden Rd),,Richlands,-,,Cafe/Restaurant,"R, Richlands"
